timestamp,video time,track information,total up,man up,woman up,total down,man down,woman down
14:52:38,0:00:01.880000,"[{'ID': 0, 'location': array([263,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([188,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:38,0:00:01.920000,"[{'ID': 0, 'location': array([263,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:39,0:00:01.960000,"[{'ID': 0, 'location': array([264,  96]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:39,0:00:02,"[{'ID': 0, 'location': array([264,  95]), 'gender': 'woman'}, {'ID': 1, 'location': array([224, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([190,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:39,0:00:02.040000,"[{'ID': 0, 'location': array([264,  95]), 'gender': 'woman'}, {'ID': 1, 'location': array([225, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([188,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:39,0:00:02.080000,"[{'ID': 0, 'location': array([266,  95]), 'gender': 'woman'}, {'ID': 1, 'location': array([226, 102]), 'gender': 'man'}, {'ID': 2, 'location': array([190,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:39,0:00:02.120000,"[{'ID': 0, 'location': array([265,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([226, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([188,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.160000,"[{'ID': 0, 'location': array([266,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([227, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.200000,"[{'ID': 0, 'location': array([266,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([226, 100]), 'gender': 'man'}, {'ID': 2, 'location': array([188,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.240000,"[{'ID': 0, 'location': array([265,  93]), 'gender': 'woman'}, {'ID': 1, 'location': array([227, 101]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.280000,"[{'ID': 0, 'location': array([267,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([227, 100]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.320000,"[{'ID': 0, 'location': array([265,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([228,  99]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:40,0:00:02.360000,"[{'ID': 0, 'location': array([267,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([226,  99]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:41,0:00:02.400000,"[{'ID': 0, 'location': array([267,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([226,  99]), 'gender': 'man'}, {'ID': 2, 'location': array([189,  81]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.440000,"[{'ID': 0, 'location': array([268,  93]), 'gender': 'woman'}, {'ID': 1, 'location': array([226,  93]), 'gender': 'man'}, {'ID': 2, 'location': array([193,  83]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.480000,"[{'ID': 0, 'location': array([266,  93]), 'gender': 'woman'}, {'ID': 1, 'location': array([226,  92]), 'gender': 'man'}, {'ID': 2, 'location': array([194,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.520000,"[{'ID': 0, 'location': array([268,  94]), 'gender': 'woman'}, {'ID': 1, 'location': array([226,  93]), 'gender': 'man'}, {'ID': 2, 'location': array([195,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.560000,"[{'ID': 0, 'location': array([266,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([227,  94]), 'gender': 'man'}, {'ID': 2, 'location': array([196,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.600000,"[{'ID': 0, 'location': array([269,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([228,  94]), 'gender': 'man'}, {'ID': 2, 'location': array([196,  82]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:42,0:00:02.640000,"[{'ID': 0, 'location': array([268,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([228,  93]), 'gender': 'man'}, {'ID': 2, 'location': array([197,  83]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:43,0:00:02.680000,"[{'ID': 0, 'location': array([268,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([228,  94]), 'gender': 'man'}, {'ID': 2, 'location': array([199,  83]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:43,0:00:02.720000,"[{'ID': 0, 'location': array([268,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([230,  93]), 'gender': 'man'}, {'ID': 2, 'location': array([199,  83]), 'gender': 'man'}]",0,0,0,0,0,0
14:52:43,0:00:02.760000,"[{'ID': 0, 'location': array([269,  92]), 'gender': 'woman'}, {'ID': 1, 'location': array([231,  93]), 'gender': 'man'}, {'ID': 2, 'location': array([200,  83]), 'gender': 'man'}]",0,0,0,0,0,0
